Pseudotabellennummer,Bezeichnung
'703110','normal innerorts'
'703111','normal ausserorts'
'703112','Schneeketten innerorts'
'703113','Schneeketten ausserorts'
'718100','Autobahn ausserorts'
'720100','Haltestelle innerorts'
'720101','Haltestelle ausserorts'
'720110','Haltestelle + Warnblinklicht innerorts'
'720111','Haltestelle + Warnblinklicht ausserorts'
'741100','VZ 239 / 242 innerorts'
'741110','VZ 274 innerorts'
'741111','VZ 274 ausserorts'
'742100','VZ 325 innerorts'
'703100','Nebel, Schnee, Regen innerorts'
'703101','Nebel, Schnee, Regen ausserorts'
'731100','Gesamtgewicht Kfz Halter'
'731101','Achslast Kfz Halter'
'731102','Gesamtgewicht Anhänger Halter'
'731103','Achslast Anhänger Halter'
'731104','Gesamtgewicht Fahrzeugkombination Halter'
'731105','Achslast Fahrzeugkombination Halter'
'731106','Anhängelast Kfz über 7,5t bzw. Anhänger über 2t; Halter'
'734100','Gesamtgewicht Kfz Führer'
'734101','Gesamtgewicht Anhänger Führer'
'734102','Gesamtgewicht Fahrzeugkombination Führer'
'734103','Gesamtgewicht Kfz Führer + Halter'
'734104','Gesamtgewicht Anhänger Führer + Halter'
'734105','Gesamtgewicht Fahrzeugkombination Führer + Halter'
'734106','Achslast Kfz Führer'
'734107','Achslast Anhänger Führer'
'734108','Achslast Fahrzeugkombination Führer'
'734109','Achslast Kfz Führer + Halter'
'734110','Achslast Anhänger Führer + Halter'
'734111','Achslast Fahrzeugkombination Führer + Halter'
'742500','Anhängelast Kfz über 7,5t mit Anhänger Führer'
'742501','Anhängelast Kfz über 2t mit Anhänger Führer'
'742502','Anhängelast Kfz über 7,5t mit Anhänger Führer + Halter'
'742503','Anhängelast Kfz über 2t mit Anhänger Führer + Halter'
