TabellenNummer,Beschreibung,gehoertZuERTLTabelleneintrag
'703000','',''
'703001','',''
'703002','',''
'703003','',''
'703004','',''
'703005','',''
'703006','',''
'703007','',''
'703008','',''
'703009','',''
'703010','',''
'703011','',''
'703012','',''
'703013','',''
'703014','',''
'703015','',''
'703016','',''
'703017','',''
'703018','',''
'703019','',''
'703020','',''
'703021','',''
'704000','',''
'704001','',''
'704002','',''
'704003','',''
'704004','',''
'704005','',''
'712000','',''
'712001','',''
'712002','',''
'712003','',''
'712004','',''
'712005','',''
'712006','',''
'712007','',''
'712008','',''
'712009','',''
'712010','',''
'712011','',''
'712012','',''
'712013','',''
'712014','',''
'712015','',''
'712016','',''
'712017','',''
'712018','',''
'712019','',''
'712020','',''
'712021','',''
'712022','',''
'712023','',''
'712024','',''
'712025','',''
'712026','',''
'712027','',''
'712028','',''
'712029','',''
'712030','',''
'712031','',''
'712032','',''
'712033','',''
'712034','',''
'712035','',''
'712036','',''
'713000','',''
'713001','',''
'713002','',''
'713003','',''
'713004','',''
'713005','',''
'713006','',''
'713007','',''
'713008','',''
'713009','',''
'713010','',''
'713011','',''
'713012','',''
'713013','',''
'713014','',''
'713015','',''
'713016','',''
'718000','',''
'718001','',''
'718002','',''
'718005','',''
'718006','',''
'720000','',''
'720001','',''
'720002','',''
'720003','',''
'720004','',''
'720005','',''
'720006','',''
'720007','',''
'720008','',''
'720009','',''
'720010','',''
'720011','',''
'731000','',''
'731001','',''
'731002','',''
'731003','',''
'731004','',''
'731005','',''
'731010','',''
'731011','',''
'731012','',''
'731013','',''
'731020','',''
'731021','',''
'731022','',''
'731023','',''
'731024','',''
'731025','',''
'731030','',''
'731031','',''
'731032','',''
'731033','',''
'731040','',''
'731041','',''
'731042','',''
'731043','',''
'731050','',''
'731051','',''
'731052','',''
'731053','',''
'731060','',''
'731061','',''
'731070','',''
'731071','',''
'731080','',''
'731081','',''
'734000','',''
'734001','',''
'734002','',''
'734003','',''
'734004','',''
'734005','',''
'734010','',''
'734011','',''
'734012','',''
'734013','',''
'734020','',''
'734021','',''
'734022','',''
'734023','',''
'734024','',''
'734025','',''
'734030','',''
'734031','',''
'734032','',''
'734033','',''
'734040','',''
'734041','',''
'734042','',''
'734043','',''
'734050','',''
'734051','',''
'734052','',''
'734053','',''
'734060','',''
'734061','',''
'734062','',''
'734063','',''
'734064','',''
'734065','',''
'734070','',''
'734071','',''
'734072','',''
'734073','',''
'734080','',''
'734081','',''
'734082','',''
'734083','',''
'741000','',''
'741001','',''
'741002','',''
'741003','',''
'741004','',''
'741005','',''
'741006','',''
'741007','',''
'741008','',''
'741010','',''
'741011','',''
'741012','',''
'741013','',''
'741014','',''
'741015','',''
'741016','',''
'741017','',''
'741018','',''
'741019','',''
'741020','',''
'741021','',''
'741022','',''
'741023','',''
'741024','',''
'741025','',''
'741026','',''
'741027','',''
'741028','',''
'741029','',''
'741030','',''
'741031','',''
'741033','',''
'741034','',''
'741035','',''
'741036','',''
'741037','',''
'741038','',''
'741039','',''
'742000','',''
'742001','',''
'742002','',''
'742100','',''
'742101','',''
'742102','',''
'742103','',''
'742104','',''
'742105','',''
'742106','',''
'742107','',''
'742108','',''
'742300','',''
'742301','',''
'742310','',''
'742311','',''
'742320','',''
'742321','',''
'742330','',''
'742331','',''
'742340','',''
'742341','',''
'741040','',''
'741041','',''
