Schluessel,Zeile,Von,Bis,Behinderung,hatTatbestandBE,hatZusatzinformationTatbestandstabelle,gehoertZuTatbestandstabelleBE
'1','1','0','20','N','103636','','703000'
'2','2','21','25','N','103637','','703000'
'3','3','26','30','N','103638','','703000'
'4','4','31','40','N','103639','','703000'
'5','5','41','50','N','103640','','703000'
'6','6','51','60','N','103641','','703000'
'7','7','61','999','N','103642','','703000'
'8','1','0','20','N','103648','','703001'
'9','2','21','25','N','103649','','703001'
'10','3','26','30','N','103650','','703001'
'11','4','31','40','N','103651','','703001'
'12','5','41','50','N','103652','','703001'
'13','6','51','60','N','103653','','703001'
'14','7','61','999','N','103654','','703001'
'15','1','0','15','N','103660','','703002'
'16','2','16','20','N','103661','','703002'
'17','3','21','25','N','103662','','703002'
'18','4','26','30','N','103663','','703002'
'19','5','31','40','N','103664','','703002'
'20','6','41','50','N','103665','','703002'
'21','7','51','60','N','103666','','703002'
'22','8','61','999','N','103667','','703002'
'23','1','0','15','N','103672','','703003'
'24','2','16','20','N','103673','','703003'
'25','3','21','25','N','103674','','703003'
'26','4','26','30','N','103675','','703003'
'27','5','31','40','N','103676','','703003'
'28','6','41','50','N','103677','','703003'
'29','7','51','60','N','103678','','703003'
'30','8','61','999','N','103679','','703003'
'31','1','0','25','N','103684','','703004'
'32','2','26','30','N','103685','','703004'
'33','3','31','40','N','103686','','703004'
'34','4','41','50','N','103687','','703004'
'35','5','51','60','N','103688','','703004'
'36','6','61','70','N','103689','','703004'
'37','7','71','999','N','103690','','703004'
'38','1','0','30','N','103696','','703005'
'39','2','31','40','N','103697','','703005'
'40','3','41','50','N','103698','','703005'
'41','4','51','60','N','103699','','703005'
'42','5','61','70','N','103700','','703005'
'43','6','71','999','N','103701','','703005'
'44','1','0','10','N','103178','','703006'
'45','2','11','15','N','103179','','703006'
'46','3','16','20','N','103716','','703006'
'47','4','21','25','N','103717','','703006'
'48','5','26','30','N','103718','','703006'
'49','6','31','40','N','103719','','703006'
'50','7','41','50','N','103720','','703006'
'51','8','51','60','N','103721','','703006'
'52','9','60','999','N','103722','','703006'
'53','1','0','10','N','103184','','703007'
'54','2','11','15','N','103185','','703007'
'55','3','16','20','N','103728','','703007'
'56','4','21','25','N','103729','','703007'
'57','5','26','30','N','103730','','703007'
'58','6','31','40','N','103731','','703007'
'59','7','41','50','N','103732','','703007'
'60','8','51','60','N','103733','','703007'
'61','9','60','999','N','103734','','703007'
'62','1','0','10','N','103190','','703008'
'63','2','11','15','N','103191','','703008'
'64','3','16','20','N','103740','','703008'
'65','4','21','25','N','103741','','703008'
'66','5','26','30','N','103742','','703008'
'67','6','31','40','N','103743','','703008'
'68','7','41','50','N','103744','','703008'
'69','8','51','60','N','103745','','703008'
'70','9','61','999','N','103746','','703008'
'71','1','0','10','N','103196','','703009'
'72','2','11','15','N','103197','','703009'
'73','3','16','20','N','103752','','703009'
'74','4','21','25','N','103753','','703009'
'75','5','26','30','N','103754','','703009'
'76','6','31','40','N','103755','','703009'
'77','7','41','50','N','103756','','703009'
'78','8','51','60','N','103757','','703009'
'79','9','61','999','N','103758','','703009'
'80','1','0','10','N','103202','','703010'
'81','2','11','15','N','103203','','703010'
'82','3','16','20','N','103204','','703010'
'83','4','21','25','N','103762','','703010'
