Schluessel,Bezeichnung,Gesetz,Paragraf
'1','Geschwindigkeit','StVO','§ 3'
'2','Grundregeln','StVO','§ 1'
'3','Überholen','StVO','§ 5'
'4','Straßenbenutzung durch Fahrzeuge','StVO','§ 2'
'5','Abstand','StVO','§ 4'
'6','Vorbeifahren','StVO','§ 6'
'7','Fahrstreifenbenutzung','StVO','§ 7'
'8','Vorfahrt','StVO','§ 8'
'9','Abbiegen, Wenden und Rückwärtsfahren','StVO','§ 9'
'10','Einfahren und Anfahren','StVO','§ 10'
'11','Besondere Verkehrslagen','StVO','§ 11'
'12','Halten und Parken','StVO','§ 12'
'13','Einrichtungen zur Überwachung der Parkzeit','StVO','§ 13'
'14','Sorgfaltspflichten beim Ein- und Aussteigen','StVO','§ 14'
'15','Liegenbleiben von Fahrzeugen','StVO','§ 15'
'16','Abschleppen von Fahrzeugen','StVO','§ 15 a'
'17','Warnzeichen','StVO','§ 16'
'18','Beleuchtung','StVO','§ 17'
'19','Autobahnen und Kraftfahrstraßen','StVO','§ 18'
'20','Bahnübergänge','StVO','§ 19'
'21','Öffentliche Verkehrsmittel und Schulbusse','StVO','§ 20'
'22','Personenbeförderung','StVO','§ 21'
'23','Sicherheitsgurte, Schutzhelm','StVO','§ 21 a'
'24','Ladung','StVO','§ 22'
'25','Sonstige Pflichten des Fahrzeugführers','StVO','§ 23'
'26','Fußgänger','StVO','§ 25'
'27','Fußgängerüberweg','StVO','§ 26'
'28','Verbände','StVO','§ 27'
'29','Tiere','StVO','§ 28'
'30','Übermäßige Straßenbenutzung','StVO','§ 29'
'31','Umweltschutz und Sonntagsfahrverbot','StVO','§ 30'
'32','Verkehrshindernisse','StVO','§ 32'
'33','Verkehrsbeeinträchtigungen','StVO','§ 33'
'34','Unfall','StVO','§ 34'
'35','Sonderrechte','StVO','§ 35'
'36','Zeichen und Weisungen der Polizeibeamten','StVO','§ 36'
'37','Wechsellicht-, Dauerlichtzeichen und Grünpfeil','StVO','§ 37'
'38','Blaues Blinklicht und gelbes Blinklicht','StVO','§ 38'
'39','Vorschriftszeichen','StVO','§ 41'
'40','Richtzeichen','StVO','§ 42'
'41','Verkehrseinrichtungen','StVO','§ 43'
'42','Verkehrszeichen und Verkehrseinrichtungen','StVO','§ 45'
'43','Ausnahmegenehmigung und Erlaubnis','StVO','§ 46'
'44','Verkehrsunterricht','StVO','§ 48'
'45','Eingeschränkte Zulassung','StVZO','§ 2'
'46','Erlaubnis- und Ausweispflicht für das Führen von Kfz','StVZO','§ 4'
'47','Sonderbestimmung für das Führen von Mofas','StVZO','§ 4 a'
'48','Mindestalter der Kraftfahrzeugführer','StVZO','§ 7'
'49','Einschränkung der Fahrerlaubnis','StVZO','§ 12'
'50','Entziehung oder Einschränkung der Fahrerlaubnis','StVZO','§ 15 b'
'51','Abliefern des Führerscheins','StVZO','§ 15 b, k'
'52','Beförderung von Fahrgästen mit Kraftfahrzeugen','StVZO','§ 15 d'
'53','Einschränkung und Entziehung der Zulassung','StVZO','§ 17'
'54','Zulassungspflichtigkeit','StVZO','§ 18'
'55','Zuteilung der amtlichen Kennzeichen','StVZO','§ 23'
'56','Ausfertigung des Fahrzeugscheines','StVZO','§ 24'
'57','Meldepflicht der Eigentümer und Halter von Kfz','StVZO','§ 27'
'58','Prüfungsfahrten, Probefahrten, Überführungsfahrten','StVZO','§ 28'
'59','Untersuchung der Kraftfahrzeuge und Anhänger','StVZO','§ 29'
'60','Maßnahmen beim Fehlen des Versicherungsschutzes','StVZO','§ 29 d'
'61','Versicherungskennzeichen','StVZO','§ 29 e'
