location	p	p_beh	p_gef	p_unf	p_30m	p_1h	p_beh_1h	p_2h	p_3h	p_beh_3h	p_gef_3h	p_unf_3h	h	h_beh	h_gef	h_unf	u	u_30m	u_1h	u_2h	u_3h
Abs. Haltverbot Z283	141312	141313				141314	141315						141310	141311							
Allg. Behinderung		101060																			
Anhänger >2t Wohngebiet	112397																				
Anhänger o. Zugfzg >2Wo	112398																				
Autobahn/Kraftfahrstr	118704		118705	118706									118178	118012							
Behindertenparkplatz	142278																				
Beschränkung Z262ff	141082	141583							141584												
Bewohnerparkplatz	142252	142253							142254	142255											
Bordsteinabsenkung	112372	112373							112374	112375											
Bushaltestelle <15m	141402	141818	141819	141820					141821	141822	141823	141824									
Bussonderfahrstreifen	141125	141828	141829	141830					141831	141832	141833	141834	141120	141825	141826	141827					
Carsharing-Parkplatz	142290																				
E-Fahrzeug-Parkplatz	142284																				
Ein-/Ausfädelungsstr.													112120	112121							
Einbahnstr. Gegenrichtung	112076																				
Eingeschr. Haltverbot Bewohner	141392	141393				141394	141395														
Eingeschr. Haltverbot Z286	141322	141323				141324	141325														
Eingeschr. Haltverbot Zone	141118	141119				141121	141122														
Enge Stelle Restfahrbahn	112600																				
Enge/unübers. Stelle	112102	112103				112104	112105						112100	112101							
Fahrradstraße	141124	141525	141528	141529		141526	141527						141020	141021	141522	141523					
Fahrstreifenbegr. <3m	141412	141413							141414	141415											
Feuerwehr	141056	141518											141050	141051							
Fußgängerfurt Lichtzeichen		101048																			
Fußgängerüberweg	141292	141293				141294	141295						141290	141291							
Fußgängerüberweg <5m	141302	141303				141304	141305						141300	141301							
Geh+Radweg	141194	141795	141798	141799		141796	141797		141786				141737	141091	141592	141593					
Gehweg	112454	112655	112658	112659		112656	112657						112050	112051	112552	112553					
Gehweg >2,8t Markierung	141042	141043				141044	141045														
Gehweg Schachtdeckel	112322	112323							112324	112325											
Gehweg Z315 >2,8t	142212	142213							142214	142215											
Gehweg Z315 Aufstellung	142222	142223							142224	142225											
Gehweg Z315 Einbahnstr.	112494	112695	112698	112699		112696	112697														
Gehweg Z315 Zeitüberschr	142232	142233							142234	142235											
Gehweg Z315 Zusatzz. verboten	142202	142203							142204	142205											
Gehweg Z315 falsche Seite	112484	112685	112688	112689		112686	112687														
Gekennz. Parkflächen	141015	141018							112284	112285											
Grenzmark. Bus-Haltverbot													141123	141622	141623	141624					
Grenzmark. Haltest-Parkverbot	141421	141842	141843	141844					141845	141846	141847	141848									
Grenzmark. Haltverbot	141352	141353				141354	141355						141350	141351							
Grenzmark. Parkverbot	141026	141027							141028	141029											
Grundstückseinfahrt	112292	112293							112294	112295											
Haltverbot Zone Scheibe falsch	113260				113261	113262		113263	113264												
Haltverbot Zone Zeitüberschr																	113220	113221	113222	113223	113224
Haltverbot Zone o. Scheibe	113240				113241	113242		113243	113244												
Kfz >7,5t Wohngebiet	112396																				
Kreisverkehr	141432	141433				141434	141435						141430	141431							
Kreuzung <5m hinter	112272	112273							112274	112275											
Kreuzung <5m vor	112262	112263							112264	112265											
Kreuzung <8m (Radweg)	112266	112267							112268	112269											
Lichtzeichen <10m	137012	137013				137014	137015						137010	137011							
Linke Fahrbahnseite	112042	112043				112044	112045						112040	112041							
Links Fahrbahnbegr. Z295	141332	141333				141334	141335						141330	141331							
Nicht platzsparend	112456																				
Nicht rechter Rand	112062	112063				112064	112065						112060	112061							
Nothalte-/Pannenbucht	142160												142154								
Parklücke Vorrang	112446																				
Parkraumzone Scheibe falsch	113350				113351	113352		113353	113354												
Parkraumzone Zeitüberschr																	113330	113331	113332	113333	113334
Parkraumzone o. Scheibe	113340				113341	113342		113343	113344												
Parkscheinaut. n. lesbar	113150				113151	113152		113153	113154												
Parkscheinaut. o. Schein	113140				113141	113142		113143	113144												
Parkuhr Zeitüberschr																	113160	113161	113162	113163	113164
Parkuhr abgelaufen	113100				113101	113102		113103	113104												
Parkuhr defekt Scheibe falsch	113200				113201	113202		113203	113204												
Parkuhr defekt o. Scheibe	113180				113181	113182		113183	113184												
Radweg beschildert	141174	141775	141778	141779		141776	141777						141070	141071	141572	141573					
Radweg unbeschildert	112474	112675	112678	112679		112676	112677						112070	112071	112572	112573					
Reitweg	141442	141443				141444	141445						141030	141031							
Richtungspfeile Z297	141342	141343				141344	141345						141340	141341							
Scharfe Kurve	112112	112113				112114	112115						112110	112111							
Scharfe Kurve Restfahrbahn	112606																				
Schienenfahrzeug-Fahrraum	112428	112618											112426	112427							
Schmale Fahrb. Grundst	112302	112303							112304	112305											
Schutzstreifen Rad													142170	142671	142672	142673					
Seitenstreifen	112020																				
Sperrfläche Z298	141245																				
Taxenstand	141382	141383				141384	141385						141380	141381							
Umweltzone	141621																				
Verkehrsber. Bereich	142103	142104							142106	142107											
Verkehrsinsel/Grünstreifen	112030																				
Verkehrsverbot Z250ff	141164	141865							141866												
Verkehrsverbot Z257	141032	141533							141534												
Vorfahrtsstr. außerorts	142242	142243							142244	142245											
Vorfahrtszeichen <10m	141362	141363				141364	141365						141360	141361							
Z314 Parkverbot	142262	142263							142264	142265											
Z314/315 Scheibe falsch	113320				113321	113322		113323	113324												
Z314/315 Zeitüberschr																	113280	113281	113282	113283	113284
Z314/315 o. Scheibe	113300				113301	113302		113303	113304												
Zuparken	101024																				
Zweite Reihe	112464	112665	112668	112669									112460	112661	112662	112663					
Zweite Reihe >15min	112666	112667																			
