hatKennzeichnung,gehoertZuTatbestandBE
'1','112456','2002-01-01-00.00.00.0000'
'1','113122','2002-01-01-00.00.00.0000'
'1','113121','2002-01-01-00.00.00.0000'
'1','113120','2002-01-01-00.00.00.0000'
'1','113104','2002-01-01-00.00.00.0000'
'1','113103','2002-01-01-00.00.00.0000'
'1','113102','2002-01-01-00.00.00.0000'
'1','112325','2002-01-01-00.00.00.0000'
'1','113100','2002-01-01-00.00.00.0000'
'1','113140','2002-01-01-00.00.00.0000'
'1','112455','2002-01-01-00.00.00.0000'
'1','112454','2002-01-01-00.00.00.0000'
'1','112453','2002-01-01-00.00.00.0000'
'1','112452','2002-01-01-00.00.00.0000'
'1','112435','2002-01-01-00.00.00.0000'
'1','112434','2002-01-01-00.00.00.0000'
'1','113101','2002-01-01-00.00.00.0000'
'1','113162','2002-01-01-00.00.00.0000'
'1','113200','2002-01-01-00.00.00.0000'
'1','113184','2002-01-01-00.00.00.0000'
'1','113183','2002-01-01-00.00.00.0000'
'1','113182','2002-01-01-00.00.00.0000'
'1','113181','2002-01-01-00.00.00.0000'
'1','113180','2002-01-01-00.00.00.0000'
'1','113123','2002-01-01-00.00.00.0000'
'1','113163','2002-01-01-00.00.00.0000'
'1','113124','2002-01-01-00.00.00.0000'
'1','113161','2002-01-01-00.00.00.0000'
'1','113160','2002-01-01-00.00.00.0000'
'1','113144','2002-01-01-00.00.00.0000'
'1','113143','2002-01-01-00.00.00.0000'
'1','113142','2002-01-01-00.00.00.0000'
'1','113141','2002-01-01-00.00.00.0000'
'1','112429','2002-01-01-00.00.00.0000'
'1','113164','2002-01-01-00.00.00.0000'
'1','112345','2002-01-01-00.00.00.0000'
'1','112433','2002-01-01-00.00.00.0000'
'1','112374','2002-01-01-00.00.00.0000'
'1','112373','2002-01-01-00.00.00.0000'
'1','112372','2002-01-01-00.00.00.0000'
'1','112355','2002-01-01-00.00.00.0000'
'1','112354','2002-01-01-00.00.00.0000'
'1','112386','2002-01-01-00.00.00.0000'
'1','112352','2002-01-01-00.00.00.0000'
'1','112396','2002-01-01-00.00.00.0000'
'1','112344','2002-01-01-00.00.00.0000'
'1','112343','2002-01-01-00.00.00.0000'
'1','112342','2002-01-01-00.00.00.0000'
'1','112335','2002-01-01-00.00.00.0000'
'1','112334','2002-01-01-00.00.00.0000'
'1','112333','2002-01-01-00.00.00.0000'
'1','112332','2002-01-01-00.00.00.0000'
'1','112353','2002-01-01-00.00.00.0000'
'1','112411','2002-01-01-00.00.00.0000'
'1','113203','2002-01-01-00.00.00.0000'
'1','112428','2002-01-01-00.00.00.0000'
'1','112427','2002-01-01-00.00.00.0000'
'1','112426','2002-01-01-00.00.00.0000'
'1','112415','2002-01-01-00.00.00.0000'
'1','112414','2002-01-01-00.00.00.0000'
'1','112375','2002-01-01-00.00.00.0000'
'1','112412','2002-01-01-00.00.00.0000'
'1','112432','2002-01-01-00.00.00.0000'
'1','112410','2002-01-01-00.00.00.0000'
'1','112405','2002-01-01-00.00.00.0000'
'1','112404','2002-01-01-00.00.00.0000'
'1','112403','2002-01-01-00.00.00.0000'
'1','112402','2002-01-01-00.00.00.0000'
'1','112398','2002-01-01-00.00.00.0000'
'1','112397','2002-01-01-00.00.00.0000'
'1','112413','2002-01-01-00.00.00.0000'
'1','141000','2002-01-01-00.00.00.0000'
'1','117173','2002-01-01-00.00.00.0000'
'1','141101','2002-01-01-00.00.00.0000'
