PLZ;PLZ1;PLZ2;PLZ3;Ort;Landkreis;Bundesland
10115;1;10;101;Berlin;Berlin;Berlin
10117;1;10;101;Berlin;Berlin;Berlin
10119;1;10;101;Berlin;Berlin;Berlin
10178;1;10;101;Berlin;Berlin;Berlin
10179;1;10;101;Berlin;Berlin;Berlin
10243;1;10;102;Berlin;Berlin;Berlin
10245;1;10;102;Berlin;Berlin;Berlin
10247;1;10;102;Berlin;Berlin;Berlin
10249;1;10;102;Berlin;Berlin;Berlin
10315;1;10;103;Berlin;Berlin;Berlin
10317;1;10;103;Berlin;Berlin;Berlin
10318;1;10;103;Berlin;Berlin;Berlin
10319;1;10;103;Berlin;Berlin;Berlin
10365;1;10;103;Berlin;Berlin;Berlin
10367;1;10;103;Berlin;Berlin;Berlin
10369;1;10;103;Berlin;Berlin;Berlin
10405;1;10;104;Berlin;Berlin;Berlin
10407;1;10;104;Berlin;Berlin;Berlin
10409;1;10;104;Berlin;Berlin;Berlin
10435;1;10;104;Berlin;Berlin;Berlin
10437;1;10;104;Berlin;Berlin;Berlin
10439;1;10;104;Berlin;Berlin;Berlin
10551;1;10;105;Berlin;Berlin;Berlin
10553;1;10;105;Berlin;Berlin;Berlin
10555;1;10;105;Berlin;Berlin;Berlin
10557;1;10;105;Berlin;Berlin;Berlin
10559;1;10;105;Berlin;Berlin;Berlin
10585;1;10;105;Berlin;Berlin;Berlin
10587;1;10;105;Berlin;Berlin;Berlin
10589;1;10;105;Berlin;Berlin;Berlin
10623;1;10;106;Berlin;Berlin;Berlin
10625;1;10;106;Berlin;Berlin;Berlin
10627;1;10;106;Berlin;Berlin;Berlin
10629;1;10;106;Berlin;Berlin;Berlin
10707;1;10;107;Berlin;Berlin;Berlin
10709;1;10;107;Berlin;Berlin;Berlin
10711;1;10;107;Berlin;Berlin;Berlin
10713;1;10;107;Berlin;Berlin;Berlin
10715;1;10;107;Berlin;Berlin;Berlin
10717;1;10;107;Berlin;Berlin;Berlin
10719;1;10;107;Berlin;Berlin;Berlin
10777;1;10;107;Berlin;Berlin;Berlin
10779;1;10;107;Berlin;Berlin;Berlin
10781;1;10;107;Berlin;Berlin;Berlin
10783;1;10;107;Berlin;Berlin;Berlin
10785;1;10;107;Berlin;Berlin;Berlin
10787;1;10;107;Berlin;Berlin;Berlin
10789;1;10;107;Berlin;Berlin;Berlin
10823;1;10;108;Berlin;Berlin;Berlin
10825;1;10;108;Berlin;Berlin;Berlin
10827;1;10;108;Berlin;Berlin;Berlin
10829;1;10;108;Berlin;Berlin;Berlin
10961;1;10;109;Berlin;Berlin;Berlin
10963;1;10;109;Berlin;Berlin;Berlin
10965;1;10;109;Berlin;Berlin;Berlin
10967;1;10;109;Berlin;Berlin;Berlin
10969;1;10;109;Berlin;Berlin;Berlin
10997;1;10;109;Berlin;Berlin;Berlin
10999;1;10;109;Berlin;Berlin;Berlin
12043;1;12;120;Berlin;Berlin;Berlin
12045;1;12;120;Berlin;Berlin;Berlin
12047;1;12;120;Berlin;Berlin;Berlin
12049;1;12;120;Berlin;Berlin;Berlin
12051;1;12;120;Berlin;Berlin;Berlin
12053;1;12;120;Berlin;Berlin;Berlin
12055;1;12;120;Berlin;Berlin;Berlin
12057;1;12;120;Berlin;Berlin;Berlin
12059;1;12;120;Berlin;Berlin;Berlin
12099;1;12;120;Berlin;Berlin;Berlin
12101;1;12;121;Berlin;Berlin;Berlin
12103;1;12;121;Berlin;Berlin;Berlin
12105;1;12;121;Berlin;Berlin;Berlin
12107;1;12;121;Berlin;Berlin;Berlin
12109;1;12;121;Berlin;Berlin;Berlin
12157;1;12;121;Berlin;Berlin;Berlin
12159;1;12;121;Berlin;Berlin;Berlin
12161;1;12;121;Berlin;Berlin;Berlin
12163;1;12;121;Berlin;Berlin;Berlin
12165;1;12;121;Berlin;Berlin;Berlin
12167;1;12;121;Berlin;Berlin;Berlin
12169;1;12;121;Berlin;Berlin;Berlin
12203;1;12;122;Berlin;Berlin;Berlin
12205;1;12;122;Berlin;Berlin;Berlin
12207;1;12;122;Berlin;Berlin;Berlin
12209;1;12;122;Berlin;Berlin;Berlin
12247;1;12;122;Berlin;Berlin;Berlin
12249;1;12;122;Berlin;Berlin;Berlin
12277;1;12;122;Berlin;Berlin;Berlin
12279;1;12;122;Berlin;Berlin;Berlin
12305;1;12;123;Berlin;Berlin;Berlin
12307;1;12;123;Berlin;Berlin;Berlin
12309;1;12;123;Berlin;Berlin;Berlin
12347;1;12;123;Berlin;Berlin;Berlin
12349;1;12;123;Berlin;Berlin;Berlin
12351;1;12;123;Berlin;Berlin;Berlin
12353;1;12;123;Berlin;Berlin;Berlin
12355;1;12;123;Berlin;Berlin;Berlin
12357;1;12;123;Berlin;Berlin;Berlin
12359;1;12;123;Berlin;Berlin;Berlin
12435;1;12;124;Berlin;Berlin;Berlin
12437;1;12;124;Berlin;Berlin;Berlin
12439;1;12;124;Berlin;Berlin;Berlin
12459;1;12;124;Berlin;Berlin;Berlin
12487;1;12;124;Berlin;Berlin;Berlin
12489;1;12;124;Berlin;Berlin;Berlin
12524;1;12;125;Berlin;Berlin;Berlin
12526;1;12;125;Berlin;Berlin;Berlin
12527;1;12;125;Berlin;Berlin;Berlin
12529;1;12;125;Schönefeld;Dahme-Spreewald;Brandenburg
12555;1;12;125;Berlin;Berlin;Berlin
12557;1;12;125;Berlin;Berlin;Berlin
12559;1;12;125;Berlin;Berlin;Berlin
12587;1;12;125;Berlin;Berlin;Berlin
12589;1;12;125;Berlin;Berlin;Berlin
12619;1;12;126;Berlin;Berlin;Berlin
12621;1;12;126;Berlin;Berlin;Berlin
12623;1;12;126;Berlin;Berlin;Berlin
12627;1;12;126;Berlin;Berlin;Berlin
12629;1;12;126;Berlin;Berlin;Berlin
12679;1;12;126;Berlin;Berlin;Berlin
12681;1;12;126;Berlin;Berlin;Berlin
12683;1;12;126;Berlin;Berlin;Berlin
12685;1;12;126;Berlin;Berlin;Berlin
12687;1;12;126;Berlin;Berlin;Berlin
12689;1;12;126;Berlin;Berlin;Berlin
13051;1;13;130;Berlin;Berlin;Berlin
13053;1;13;130;Berlin;Berlin;Berlin
13055;1;13;130;Berlin;Berlin;Berlin
13057;1;13;130;Berlin;Berlin;Berlin
13059;1;13;130;Berlin;Berlin;Berlin
