"101","Gefahrstelle"
"101-10","Flugbetrieb - Aufstellung rechts"
"101-11","Fußgängerüberweg - Aufstellung rechts"
"101-12","Viehtrieb - Aufstellung rechts"
"101-13","Reiter - Aufstellung rechts"
"101-14","Amphibienwanderung - Aufstellung rechts"
"101-15","Steinschlag - Aufstellung rechts"
"101-20","Flugbetrieb - Aufstellung links"
"101-21","Fußgängerüberweg - Aufstellung links"
"101-22","Viehtrieb - Aufstellung links"
"101-23","Reiter - Aufstellung links"
"101-24","Amphibienwanderung - Aufstellung links"
"101-25","Steinschlag - Aufstellung links"
"101-51","Schnee- oder Eisglätte"
"101-52","Splitt, Schotter"
"101-53","Ufer"
"101-54","Unzureichendes Lichtraumprofil"
"101-55","Bewegliche Brücke"
"102","Kreuzung oder Einmündung"
"103","Kurve"
"103-10","Kurve - links 103-20 Kurve - rechts"
"105","Doppelkurve"
"105-10","Doppelkurve - zunächst links 105-20 Doppelkurve - zunächst rechts"
"108","Gefälle"
"108-4","Gefälle 4%"
"108-5","Gefälle 5%"
"108-6","Gefälle 6%"
"108-7","Gefälle 7%"
"108-8","Gefälle 8%"
"108-9","Gefälle 9%"
"108-10","Gefälle 10%"
"108-11","Gefälle 11%"
"108-12","Gefälle 12%"
"108-13","Gefälle 13%"
"108-14","Gefälle 14%"
"108-15","Gefälle 15%"
"108-16","Gefälle 16%"
"108-17","Gefälle 17%"
"108-18","Gefälle 18%"
"108-19","Gefälle 19%"
"108-20","Gefälle 20%"
"108-21","Gefälle 21%"
"108-22","Gefälle 22%"
"108-23","Gefälle 23%"
"108-24","Gefälle 24%"
"108-25","Gefälle 25%"
"110","Steigung"
"110-4","Steigung 4%"
"110-5","Steigung 5%"
"110-6","Steigung 6%"
"110-7","Steigung 7%"
"110-8","Steigung 8%"
"110-9","Steigung 9%"
"110-10","Steigung 10%"
"110-11","Steigung 11%"
"110-12","Steigung 12%"
"110-13","Steigung 13%"
"110-14","Steigung 14%"
"110-15","Steigung 15%"
"110-16","Steigung 16%"
"110-17","Steigung 17%"
"110-18","Steigung 18%"
"110-19","Steigung 19%"
"110-20","Steigung 20%"
"110-21","Steigung 21%"
"110-22","Steigung 22%"
"110-23","Steigung 23%"
"110-24","Steigung 24%"
"110-25","Steigung 25%"
"112","Unebene Fahrbahn"
"114","Schleuder- oder Rutschgefahr"
"117","Seitenwind"
"117-10","Seitenwind von rechts 117-20 Seitenwind von links"
"120","Verengte Fahrbahn"
"121","Einseitig verengte Fahrbahn"
"121-10","Einseitig verengte Fahrbahn - Verengung rechts"
"121-20","Einseitig verengte Fahrbahn - Verengung links"
"123","Arbeitsstelle"
"124","Stau"
"125","Gegenverkehr"
"131","Lichtzeichenanlage"
"133","Fußgänger"
"133-10","Fußgänger - Aufstellung rechts"
"133-20","Fußgänger - Aufstellung links"
"136","Kinder"
"136-10","Kinder - Aufstellung rechts"
"136-20","Kinder - Aufstellung links"
"138","Radverkehr"
"138-10","Radverkehr - Aufstellung rechts"
"138-20","Radverkehr - Aufstellung links"
"142","Wildwechsel"
"142-10","Wildwechsel - Aufstellung rechts"
