osm_id,ort,plz,bundesland
1104550,Aach,78267,Baden-Württemberg
1255910,Aach,54298,Rheinland-Pfalz
62564,Aachen,52062,Nordrhein-Westfalen
62564,Aachen,52064,Nordrhein-Westfalen
62564,Aachen,52066,Nordrhein-Westfalen
62564,Aachen,52068,Nordrhein-Westfalen
62564,Aachen,52070,Nordrhein-Westfalen
62564,Aachen,52072,Nordrhein-Westfalen
62564,Aachen,52074,Nordrhein-Westfalen
62564,Aachen,52076,Nordrhein-Westfalen
62564,Aachen,52078,Nordrhein-Westfalen
62564,Aachen,52080,Nordrhein-Westfalen
915486,Aalen,73430,Baden-Württemberg
915486,Aalen,73431,Baden-Württemberg
915486,Aalen,73432,Baden-Württemberg
915486,Aalen,73433,Baden-Württemberg
915486,Aalen,73434,Baden-Württemberg
413109,Aarbergen,65326,Hessen
448770,Aasbüttel,25560,Schleswig-Holstein
158409,Abenberg,91183,Bayern
956651,Abensberg,93326,Bayern
1244276,Abentheuer,55767,Rheinland-Pfalz
1015097,Absberg,91720,Bayern
410485,Abstatt,74232,Baden-Württemberg
2389084,Abtsbessingen,99713,Thüringen
915445,Abtsgmünd,73453,Baden-Württemberg
537061,Abtsteinach,69518,Hessen
283691,Abtswind,97355,Bayern
1244067,Abtweiler,55568,Rheinland-Pfalz
2806596,Achberg,88147,Baden-Württemberg
452972,Achern,77855,Baden-Württemberg
1182036,Achim,28832,Niedersachsen
959175,Achslach,94250,Bayern
2801019,Achstetten,88480,Baden-Württemberg
548033,Acht,56729,Rheinland-Pfalz
1246405,Achtelsbach,55767,Rheinland-Pfalz
548502,Achterwehr,24239,Schleswig-Holstein
1417214,Achtrup,25917,Schleswig-Holstein
2825844,Adelberg,73099,Baden-Württemberg
1399100,Adelebsen,37139,Niedersachsen
1796300,Adelheidsdorf,29352,Niedersachsen
915446,Adelmannsfelden,73486,Baden-Württemberg
943553,Adelschlag,85111,Bayern
1016518,Adelsdorf,91325,Bayern
403733,Adelsheim,74740,Baden-Württemberg
534077,Adelshofen,91587,Bayern
933549,Adelshofen,82276,Bayern
452562,Adelsried,86477,Bayern
163655,Adelzhausen,86559,Bayern
1060416,Adenau,53518,Rheinland-Pfalz
1246784,Adenbach,67742,Rheinland-Pfalz
1363679,Adenbüttel,38528,Niedersachsen
1392133,Adendorf,21365,Niedersachsen
191347,Adlkofen,84166,Bayern
391131,Admannshagen-Bargeshagen,18211,Mecklenburg-Vorpommern
443610,Adorf/Vogtland,08626,Sachsen
448016,Aebtissinwisch,25572,Schleswig-Holstein
1169356,Aerzen,31855,Niedersachsen
405290,Affalterbach,71563,Baden-Württemberg
393482,Affing,86444,Bayern
1992924,Affinghausen,27257,Niedersachsen
1171872,Affler,54689,Rheinland-Pfalz
445842,Agathenburg,21684,Niedersachsen
448765,Agethorst,25560,Schleswig-Holstein
403747,Aglasterhausen,74858,Baden-Württemberg
191355,Aham,84168,Bayern
162877,Ahaus,48683,Nordrhein-Westfalen
965596,Ahausen,27367,Niedersachsen
1408072,Ahlbeck,17375,Mecklenburg-Vorpommern
1808860,Ahlden,29693,Niedersachsen
548612,Ahlefeld-Bistensee,24358,Schleswig-Holstein
152285,Ahlen,59227,Nordrhein-Westfalen
152285,Ahlen,59229,Nordrhein-Westfalen
446435,Ahlerstedt,21702,Niedersachsen
2409456,Ahlsdorf,06313,Sachsen-Anhalt
1273264,Ahlstädt,98553,Thüringen
530915,Ahnatal,34292,Hessen
1145086,Ahneby,24996,Schleswig-Holstein
1797682,Ahnsbeck,29353,Niedersachsen
1169362,Ahnsen,31708,Niedersachsen
959667,Aholfing,94345,Bayern
959803,Aholming,94527,Bayern
401808,Ahorn,74744,Baden-Württemberg
956872,Ahorn,96482,Bayern
1071012,Ahorntal,95491,Bayern
1021829,Ahrbrück,53506,Rheinland-Pfalz
382442,Ahrensbök,23623,Schleswig-Holstein
453746,Ahrensburg,22926,Schleswig-Holstein
1318349,Ahrensfelde,16356,Brandenburg
374204,Ahrenshagen-Daskow,18320,Mecklenburg-Vorpommern
1406816,Ahrenshöft,25853,Schleswig-Holstein
374244,Ahrenshoop,18347,Mecklenburg-Vorpommern
