PLZ,Ort,Ortstteil,
01067,Dresden,,
01067,Dresden,Friedrichstadt,
01067,Dresden,Innere Altstadt,
01067,Dresden,Wilsdruffer Vorstadt/Seevorstadt-West,
01069,Dresden,,
01069,Dresden,Innere Altstadt,
01069,Dresden,Pirnaische Vorstadt,
01069,Dresden,Räcknitz/Zschertnitz,
01069,Dresden,Seevorstadt-Ost/Großer Garten,
01069,Dresden,Südvorstadt-Ost,
01069,Dresden,Südvorstadt-West,
01069,Dresden,Wilsdruffer Vorstadt/Seevorstadt-West,
01097,Dresden,,
01097,Dresden,Innere Neustadt,
01097,Dresden,Leipziger Vorstadt,
01097,Dresden,Pieschen-Nord/Trachenberge,
01097,Dresden,Äußere Neustadt,
01099,Dresden,,
01099,Dresden,Albertstadt,
01099,Dresden,Dresdener Heide,
01099,Dresden,Hellerberge,
01099,Dresden,Innere Neustadt,
01099,Dresden,Leipziger Vorstadt,
01099,Dresden,Loschwitz/Wachwitz,
01099,Dresden,Radeberger Vorstadt,
01099,Dresden,Äußere Neustadt,
01108,Dresden,,
01108,Dresden,Marsdorf,
01108,Dresden,Weixdorf,
01109,Dresden,,
01109,Dresden,Dresdener Heide,
01109,Dresden,Hellerau/Wilschdorf,
01109,Dresden,Hellerberge,
01109,Dresden,Industriegebiet Klotzsche,
01109,Dresden,Klotzsche,
01127,Dresden,,
01127,Dresden,Hellerberge,
01127,Dresden,Leipziger Vorstadt,
01127,Dresden,Mickten,
01127,Dresden,Pieschen-Nord/Trachenberge,
01127,Dresden,Pieschen-Süd,
01129,Dresden,,
01129,Dresden,Hellerberge,
01129,Dresden,Pieschen-Nord/Trachenberge,
01129,Dresden,Trachau,
01139,Dresden,,
01139,Dresden,Kaditz,
01139,Dresden,Mickten,
01139,Dresden,Pieschen-Süd,
01139,Dresden,Trachau,
01156,Dresden,,
01156,Dresden,Alt-Leuteritz,
01156,Dresden,Altfranken,
01156,Dresden,Brabschütz,
01156,Dresden,Cossebaude,
01156,Dresden,Gohlis,
01156,Dresden,Gompitz,
01156,Dresden,Merbitz,
01156,Dresden,Mobschatz,
01156,Dresden,Niederwartha,
01156,Dresden,Oberwartha,
01156,Dresden,Ockerwitz,
01156,Dresden,Pennrich,
01156,Dresden,Podemus,
01156,Dresden,Rennersdorf,
01156,Dresden,Roitzsch,
01156,Dresden,Steinbach,
01156,Dresden,Unkersdorf,
01156,Dresden,Zöllmen,
01157,Dresden,,
01157,Dresden,Briesnitz,
01157,Dresden,Cotta,
01157,Dresden,Friedrichstadt,
01157,Dresden,Gorbitz-Nord/Neu-Omsewitz,
01157,Dresden,Gorbitz-Ost,
01157,Dresden,Löbtau-Nord,
01159,Dresden,,
01159,Dresden,Cotta,
01159,Dresden,Friedrichstadt,
01159,Dresden,Gorbitz-Ost,
